,Grade,AWL_count,CSAWL_count,LFP_k1,LFP_k2,LFP_k3,LFP_k4,LFP_kn,LFP_kx,n_sents,n_words,n_chars,n_syllables,n_unique_words,n_long_words,n_monosyllable_words,n_polysyllable_words,flesch_kincaid_grade_level,flesch_reading_ease,smog_index,gunning_fog_index,coleman_liau_index,automated_readability_index,lix,gulpease_index,wiener_sachtextformel,Rel_BNC,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SPACE,SYM,VERB,X
1,6.0,0.16532489936745257,0.11559888579387187,0.6864847785006716,0.3543937960233553,0.614352436280804,0.454622934984872,0.5094965246685279,0.09862980089347476,0.08155339805825243,0.1689912685684664,0.18089538442990238,0.18066604603926878,0.45242105263157895,0.20895522388059698,0.15021500935351426,0.18598203393589885,0.10978132675689184,0.9459404784149699,0.7323702240932285,0.39245897442186733,0.041245326163416904,0.09249914217880723,0.4907820042818702,0.892801478222385,0.2682022781621404,0.1497578067037518,0.8197859552931253,0.8338787538928532,0.6530761673616075,0.4757792956996506,0.5487230912405048,0.01248468301642879,0.7409697404040003,0.10654037491170927,0.5299735626626616,0.22293351136661196,0.1935305296224923,0.1271870057825455,0.04055396428489542,0.046412602134549535,0.7277249897116189,0.0017876817875674353
2,7.0,0.3867165037377803,0.13695450324976788,0.5822342039449467,0.5065405330987629,0.606208386070549,0.47471358248162293,0.4428072148339821,0.08995417865407644,0.29563106796116506,0.35594757901216567,0.3482608724773776,0.3622630331753554,0.5482105263157895,0.3678919452325151,0.34430650372925825,0.35222357768659196,0.04937686111057304,0.9736797175750911,0.3763905888660536,0.18677587081794061,0.02494818457713893,0.03992502547513738,0.22795751347450638,0.9275656679274425,0.13661447469822519,0.24060736715363593,0.4600211030900271,0.7015770068855984,0.4355041950017691,0.3324486660903778,0.5148419694572627,0.02826590221148224,0.7248259279695828,0.2641849626073907,0.4682951050892427,0.17354477786883182,0.5010856383979242,0.13964697900993778,0.1468374141516831,0.07949552139959175,0.598953233320879,0.003845024867658101
3,6.0,0.2666762507188039,0.2158774373259053,0.7106641709174738,0.4232416838240201,0.6978879858072368,0.33737724549032483,0.39296098696324505,0.11018860948358028,0.1587378640776699,0.28944938523594305,0.2968908030194442,0.2973827860528097,0.4698947368421053,0.28210188725792523,0.28220888705327857,0.2740379283575468,0.0878073862518294,0.9587211807834799,0.5666438106849677,0.3093224041238087,0.03432522041698313,0.0750893849689876,0.33910390332804546,0.9033562472208571,0.18435144259023334,0.13510684361382685,0.6266965221296342,0.7335608700206395,0.5438790599032463,0.303734167430799,0.8537060643957257,0.0073851562875985885,0.8074932020669141,0.07802799441867064,0.7907286404334529,0.2456821336166073,0.05516317388796008,0.11904909989847426,0.039973792625257416,0.07400855788007467,0.8321721565746093,0.02617264347549502
4,6.0,0.4130247268545141,0.5394614670380687,0.6080750262429256,0.34721459951805145,0.48940543185710794,0.4852534244551891,0.6295057600827567,0.09452624666025687,0.18519417475728156,0.4076395976089809,0.42954741826803927,0.43132193635748134,0.5614736842105263,0.4496731219933391,0.37955831976871307,0.4687811910835089,0.11587339467426547,0.9450852344804865,0.8045055332810945,0.43213010123839274,0.039150931171903866,0.09648001228700126,0.46931734547912557,0.8934525356611831,0.26544063502062937,0.37156916174728605,0.6514944666182874,0.8622887382374713,0.6476552844963194,0.44390074844000765,0.7313219214640541,0.002685158148762034,0.7049846878889552,0.11675380768356446,0.4725519487415483,0.2042703038265499,0.30185976886397575,0.08853517806701969,0.031411223948999166,0.03385283418612088,0.7631728170170673,0.0036526341095847875
6,4.0,0.33179988499137436,0.2363045496750232,0.6433638118731814,0.4760216751534337,0.49474329324520094,0.3459179193906245,0.5180162068775201,0.08664696776680428,0.14757281553398058,0.26489122159044887,0.275698430665979,0.2745429925524712,0.4242105263157895,0.29955593931170593,0.24698136585602876,0.26117333924808694,0.0877628353019684,0.9576828617266216,0.5805904595641117,0.31133726177932236,0.03635668284961828,0.07588385806568862,0.39221080944431824,0.9016662935079742,0.21063454591005332,0.15579647548608586,0.657471957228221,0.7907499187107287,0.5429389465120498,0.25928916041802846,0.8375206179643006,0.01939484185446107,0.759244590799077,0.07841998037227009,0.49465212132989345,0.2049486046059852,0.10165668768379349,0.16978913058959008,0.050579867206976874,0.043887903983823764,0.7433643918746746,0.0008331442338667031
7,6.0,0.42869465209890745,0.596100278551532,0.5399236232324759,0.5050146482942075,0.4277709117774582,0.5063026985329753,0.5793619553707064,0.07151884278717129,0.4446601941747573,0.45928301825662954,0.4747687526373251,0.471045616113744,0.5065263157894736,0.4959294436906377,0.4298729379752678,0.44682266829322387,0.04063817769997568,0.9759234873848095,0.2998589088561291,0.14681296622151563,0.031342753590235514,0.03979068193570112,0.20834786724803783,0.9278183473531143,0.12666294379567578,0.25396204613339474,0.4595256370893461,0.6251231435574577,0.3857718520588544,0.46435098892108034,0.567120730817259,0.03180968437575509,0.5853418355358992,0.43303357735516834,0.6552439398818305,0.10671059198780027,0.4646245365650897,0.12179923750086416,0.10703950971765605,0.020566003861305245,0.7729285412305804,0.0009760347371021776
8,5.0,0.2090281771132835,0.1425255338904364,0.5807153027100832,0.4117829687506245,0.6543067623633555,0.26340973794866374,0.5895483511394956,0.08844904726833393,0.10606796116504855,0.19572014061006626,0.20269057394892126,0.20587550778605282,0.36778947368421055,0.23325521154557788,0.1809236899006341,0.21148940889431075,0.09344354543753847,0.9538219541181343,0.6497033056666147,0.34108340331279935,0.03579859259431385,0.07736098448239967,0.42579445274827105,0.90152499117682,0.2349059835368253,0.19334909698281025,0.6205780110421921,0.7181116831863822,0.40975046702995077,0.5336300007678649,0.5385670263784583,0.010088331890107239,0.6339222296130862,0.289018660696908,0.3328896728405632,0.28625450278962167,0.2874552394513929,0.17648825656678876,0.14101591186794665,0.011414265315293978,0.6421828465339808,0.0
9,8.0,0.41733755031627373,0.24837511606313836,0.7528267305265093,0.3256689704317953,0.4580180064347885,0.2879383903917224,0.5493748620296189,0.12467103125786308,0.2975728155339806,0.4002203107028883,0.414825283491517,0.40487474610697355,0.6938947368421052,0.4480695695078327,0.389932217390248,0.37229677276255957,0.05661710963895326,0.9717931642511647,0.3995768828358449,0.20446939463562425,0.03392246786625143,0.05460998816637387,0.29101688165834244,0.9136755191730228,0.15488010620700549,0.4445370502741712,0.5695844147089555,0.6859490200706798,0.4274999833492205,0.44663904430472434,0.5333306009477078,0.03242571241155622,0.7238121256826695,0.17889915521738442,0.5744215239853704,0.2794387490796959,0.3218232534183021,0.18339055921870498,0.10113552646545365,0.06208653985127431,0.6386881218464494,0.0026786756705161887
10,4.0,0.1027889591719379,0.09795728876508822,0.6642480397931607,0.42507459236912226,0.32036185660120664,0.4726014911964584,0.49617006093623506,0.1344100987410237,0.07014563106796116,0.1156631190163775,0.1092003295400505,0.11046462423832092,0.2522105263157895,0.09343776982854324,0.1208425451276694,0.09016302539647332,0.0640191146103076,0.9755069497174248,0.41170714788572316,0.23648270465642457,0.02249947101039201,0.0554366848153586,0.23869079683553324,0.9189106654065318,0.12040676063607626,0.13877418582358797,0.565437808846571,0.7594978088832826,0.7770813922354158,0.3328870817273226,0.7197459594490402,0.0,0.563672105683501,0.0924241742188714,0.6284801735567073,0.5388897488785702,0.18272487284960992,0.17666599355058227,0.012493968179582177,0.02018304042915246,0.8286474050628029,0.003192866034652879
11,6.0,0.38599769982748705,0.4628597957288765,0.6320051459851611,0.3528540914229873,0.42283245851414747,0.4568078341154911,0.6474383600797062,0.09116786398894554,0.32475728155339806,0.38235246472598855,0.3984152606514444,0.40139429587000675,0.6341052631578947,0.41661527075366966,0.35623527125191323,0.3999112786957968,0.05368876057792068,0.9684103984701562,0.39200541032004443,0.1928337017425904,0.03366805414760525,0.04764394563728443,0.2434341259058727,0.9193287802144976,0.1508882124666997,0.5760264282341472,0.5695676042644495,0.6481254259672989,0.4066177421206936,0.38123682800590564,0.7043383351459566,0.027290885891735894,0.6672107990430953,0.14417115962845617,0.43747379283501836,0.10681016659813261,0.2578212109963895,0.24920728494347377,0.11025526092329416,0.09143034471080523,0.5979492137076781,0.004263034918521915
